Sentiment;Tweet
1;Aamiin....Allahumma Bp.Anies Baswedan terpilih jadi Presiden Indonesia THN p 2024.
1;  Koordinator Koalisi Perubahan dari Partai Keadilan Sejahtera (PKS) Sohibul Iman.  Secara resmi memberi dukungan kepada Anies Baswedan sebagai Calon Presiden untuk Pilpres 2024. 
-1;       Bener juga ya,Di era Pak   Gak di lirik sama sekali,tapi saya YAKIN Kalau Anies Baswedan TIDAK AKAN Pernah Jadi Presiden Indonesia
1;PKS Mendukung Anies Baswedan Menjadi Calon Presiden 2024 
1; Anies Baswedan Presiden Indonesia
1;PKS Siap Menang 2024 Bersama Calon Presiden RI 2024-2029 Bpk. Anies Baswedan.  
1; MANTAP....  IN SHAA ALLAH ANIES BASWEDAN PRESIDEN INDONESIA TAHUN 2024  أمين  أمين  أمين   يارب العالمين
0;Tim Anies Baswedan Bantah Ada Perjanjian dengan Prabowo Subianto Soal Pencalonan Presiden  
1; Mantaaap... InsyaaAllah thn 2024 Anies Baswedan Presiden RI.
-1;Walau sekarang didukung Demokrat dan PKS, ada empat alasan Anies Baswedan gak bakal bisa menang jadi presiden !!  
1;Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono memastikan partainya mendukung Anies Baswedan sebagai bakal calon presiden 2024. | Narasi Daily.   PDemokrat AgusYudhoyono 
1; Alhamdulillah, mudah Mudah'an anies baswedan di takdir kan oleh Allah SWT jadi presiden, aamiin YRA
1; ANIES BASWEDAN FOR PRESIDEN INDONESIA 2024
1; Alhamdulillah, mudah mudah an anies baswedan di takdirkan oleh Allah SWT jadi presiden, aamiin YRA
0;partai masing sudah punya capres sendiri, selain Anies. Waktu itu Demokrat, PKB dan PKS masih dalam rencana membentuk koalisi, yang diberi nama Koalisi Semut Merah. NasDem masih sendiri, namun sudah mengumumkan 3 nama bakal calon presiden, yakni Anies Baswedan, Andika Perkasa
1;    Mantap anies baswedan presiden rakyat indonesia  2024. Presiden elo mana?
1;"Wakil Ketua Majelis Syuro Partai Keadilan Sejahtera (PKS), Mohamad Sohibul Iman telah berkonsultasi dengan Ketua Majelis Syuro PKS, Salim Segaf Aljufri di Istanbul, Turki. Hasilnya, PKS secara resmi mengusung Anies Baswedan sebagai calon presiden (capres) pada 2024.  "" "
